t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
64.71848536,-0.84,1.04,9.28,-2.63,18.44,-6.81,14.25,7,-40.88,-0.92,-0.04,-0.06,-0.38,
65.04353142,-1.13,1.11,9.58,7.5,-19.63,0.06,16.88,7,-42.38,-0.92,-0.04,-0.07,-0.37,
65.36978173,-0.18,1.44,9.39,0.31,9.88,-5.56,12.38,5.88,-43.69,-0.93,-0.06,-0.04,-0.36,
65.69439983,-1.35,1.31,9.47,-2.75,9.38,-5.56,15.06,6.25,-41.25,-0.93,-0.04,-0.09,-0.35,
66.02070379,-0.75,1.18,9.55,-2.19,-23.19,0.5,14.69,7.38,-42.06,-0.94,-0.05,-0.05,-0.34,
66.34573197,-0.23,1.15,9.35,3.88,10.94,-2.94,10.88,7,-42.5,-0.94,-0.05,-0.03,-0.34,
66.67286515,-1.19,1.39,9.59,2.56,13.56,-3.88,14.69,6.69,-41.38,-0.94,-0.04,-0.08,-0.33,
66.99700069,-0.95,1.4,9.13,-1.25,-20.38,2.13,15.75,7,-41.38,-0.94,-0.05,-0.07,-0.33,
67.32415485,-0.21,1.24,9.73,-4,7.44,-1.94,11.25,7.75,-42.5,-0.94,-0.06,-0.04,-0.33,
67.64827466,-1.26,0.84,9.12,0.63,7.75,-1,14.69,7.75,-40.88,-0.94,-0.03,-0.07,-0.32,
67.97541451,-0.6,1.37,9.68,6.25,-18.56,3.06,13.19,6.69,-43,-0.94,-0.06,-0.05,-0.32,
68.3005116,-0.53,1.4,9.22,-3.5,22.5,-4.38,11.69,6.69,-43.25,-0.94,-0.06,-0.05,-0.32,
68.6266408,-1.5,1.28,9.44,-2.69,-5.88,1.13,16.06,7,-41.69,-0.94,-0.04,-0.09,-0.32,
68.95132446,-0.24,0.84,9.42,2.44,-29.56,5.31,12.06,7.75,-42.88,-0.94,-0.06,-0.02,-0.33,
